	S1F.fastq.trim.sam.counts	S1S.fastq.trim.sam.counts	S2F.fastq.trim.sam.counts	S2S.fastq.trim.sam.counts	S3F.fastq.trim.sam.counts	S3S.fastq.trim.sam.counts	S4F.fastq.trim.sam.counts	S4S.fastq.trim.sam.counts	S5F.fastq.trim.sam.counts	S5S.fastq.trim.sam.counts	
symbB.v1.2.003496	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.003502	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.003517	0	0	0	0	0	1	0	0	0	0	
symbB.v1.2.003524	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.003525	1	0	0	0	0	0	1	2	0	0	
symbB.v1.2.003543	0	2	2	0	0	0	0	0	0	0	
symbB.v1.2.003549	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.003550	0	0	0	0	0	0	0	1	0	1	
symbB.v1.2.003552	1	3	2	1	2	3	0	1	1	0	
symbB.v1.2.003558	0	0	0	0	0	0	0	0	0	1	
symbB.v1.2.003559	0	0	0	0	0	0	0	1	0	1	
symbB.v1.2.003563	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.003566	0	0	0	0	0	0	0	0	1	0	
symbB.v1.2.003568	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.003571	1	0	0	0	1	0	1	1	1	1	
symbB.v1.2.003578	0	3	5	0	2	2	7	4	5	4	
symbB.v1.2.003581	0	0	0	0	0	0	1	1	0	0	
symbB.v1.2.003604	0	1	0	0	0	0	1	0	0	0	
symbB.v1.2.003605	0	0	0	0	0	0	2	0	0	0	
symbB.v1.2.003628	0	0	0	0	0	0	1	0	0	0	
symbB.v1.2.003633	0	0	0	0	0	0	1	1	0	0	
symbB.v1.2.003644	0	0	0	1	0	0	0	0	1	0	
symbB.v1.2.003650	1	0	0	0	0	1	1	2	0	1	
symbB.v1.2.003664	0	1	0	0	0	0	0	0	0	1	
symbB.v1.2.003679	0	0	0	0	0	0	0	1	0	0	
symbB.v1.2.003683	0	1	0	0	0	2	0	0	1	1	
